Subject,Name,Training,Nivel,BLPS,MPDC,APCPS,PD,Entropy,TTP,PDS
s15,SequenceMemory_r02,False,6,3.416732916,0.233457293,0.068327639,0.602067025,1.868785286,8592027,8.35E-08
s15,SequenceMemory_r20,False,6,3.426131516,0.188720396,0.055082648,0.58604703,1.855011866,6399162,1.30E-07
s15,SequenceMemory_r22,False,6,3.619803845,0.013011772,0.003594607,0.190967039,1.861512523,8891057,3.68E-08
s15,SequenceMemory_r23,False,1,3.516186488,0.029647577,0.008431742,0.150941827,1.826393642,3588223,3.77E-08
s15,SequenceMemory_r25,False,3,3.462639585,0.082624321,0.023861658,0.224688549,1.826238928,9947583,9.56E-09
s15,SequenceMemory_r26,False,1,3.582526094,-0.134008192,-0.037406062,0.062833879,1.786875738,3329037,-1.58E-08
s15,SequenceMemory_r28,False,1,3.437417227,0.061972621,0.018028833,0.211984812,1.807610332,3827546,7.97E-08
s15,SequenceMemory_r31,False,1,3.500747203,0.005130671,0.001465593,0.170100613,1.81016243,3508588,4.63E-08
s15,SequenceMemory_r04,False,1,3.581606953,-0.048108641,-0.013432139,0.066850233,1.821394241,3687949,3.71E-08
s15,SequenceMemory_r05,False,1,3.491683724,0.084050834,0.02407172,0.240742706,1.838606731,4704716,8.52E-08
s15,SequenceMemory_r06,False,6,3.463791727,0.12780952,0.036898731,0.346919097,1.845245846,8432601,5.21E-08
s15,SequenceMemory_r08,False,3,3.392983605,0.109326085,0.032221224,0.362839913,1.809062437,6857683,3.68E-08
s16,SequenceMemory_r01,False,1,4.759247085,-0.030099827,-0.006324493,0.229749183,2.242359009,7535552,6.56E-08
s16,SequenceMemory_r14,False,6,4.222709076,0.233676171,0.055337976,0.709482681,2.157302746,9229837,9.15E-08
s16,SequenceMemory_r15,False,3,4.496283195,-0.031901515,-0.007095086,0.485494462,2.159047713,5980405,-7.03E-09
s16,SequenceMemory_r16,False,3,4.135490844,0.153599738,0.03714184,0.553362494,2.10146324,6040268,4.62E-08
s16,SequenceMemory_r18,False,6,4.51103117,0.034897547,0.007736047,0.472990287,2.185373701,9628635,8.34E-09
s16,SequenceMemory_r19,False,6,4.290706406,0.17140215,0.039947303,1.173997789,2.159250997,13296613,4.83E-08
s16,SequenceMemory_r22,False,6,4.137618982,0.331306654,0.080071813,0.857623221,2.16151511,12459429,4.73E-08
s16,SequenceMemory_r24,False,3,4.398982455,0.03199001,0.007272139,0.510040559,2.149029573,11123772,4.98E-08
s16,SequenceMemory_r25,False,1,4.299630674,0.01470744,0.003420629,1.027379365,2.11124608,3907135,2.52E-07
s16,SequenceMemory_r26,False,6,4.27190751,0.208800314,0.048877536,0.797475449,2.165980232,9030560,6.13E-08
s16,SequenceMemory_r28,False,6,4.84881045,-0.305989504,-0.063106097,-0.04138072,2.183976158,14432973,6.34E-09
s16,SequenceMemory_r03,False,3,4.205207469,0.193265607,0.045958638,0.924539237,2.138565241,5741183,1.14E-07
s16,SequenceMemory_r31,False,3,4.250291564,0.139011473,0.032706338,0.526694556,2.135136258,9628639,5.81E-08
s16,SequenceMemory_r32,False,3,4.191574727,0.105942701,0.025275155,0.533103865,2.105042926,10346331,5.99E-08
s16,SequenceMemory_r04,False,1,4.227424221,0.075284253,0.01780854,0.458977794,2.105766878,7336064,3.79E-08
s16,SequenceMemory_r06,False,1,4.375093628,-0.209291126,-0.047836948,0.25391904,2.060020434,7914299,7.33E-08
s16,SequenceMemory_r09,False,1,4.30213888,0.043100402,0.010018366,0.557964988,2.12004797,3707949,1.17E-07
s17,SequenceMemory_r01,False,3,3.647542742,0.414053125,0.113515634,0.869534639,2.023189048,6279569,1.63E-07
s17,SequenceMemory_r11,False,6,3.597256317,0.315139109,0.087605408,1.1579096,1.969740793,8731580,9.33E-08
s17,SequenceMemory_r16,False,3,3.46986604,0.156905795,0.045219554,0.682128686,1.860371684,5801176,1.21E-07
s17,SequenceMemory_r17,False,1,3.321740914,0.231784666,0.069778069,0.572827581,1.829903986,4106608,6.70E-08
s17,SequenceMemory_r18,False,6,3.19069146,0.536605599,0.168178467,1.0147333,1.900430146,8073634,1.34E-07
s17,SequenceMemory_r02,False,1,3.413710615,0.398684047,0.116789058,0.797255872,1.932287082,3987002,2.98E-07
s17,SequenceMemory_r20,False,6,3.449491524,0.27582768,0.079961837,0.695325073,1.899649069,9249842,1.00E-07
s17,SequenceMemory_r23,False,3,3.439170304,0.127445748,0.03705712,0.44496681,1.83604471,5980520,3.26E-08
s17,SequenceMemory_r24,False,3,3.560547083,0.109265192,0.030687754,0.356323208,1.87665719,9329742,2.89E-08
s17,SequenceMemory_r26,False,3,3.705609279,-0.034151786,-0.00921624,0.201375528,1.876962392,5601869,2.38E-08
s17,SequenceMemory_r27,False,1,3.340445574,0.334601006,0.100166579,0.600422821,1.879162065,7176610,7.74E-08
s17,SequenceMemory_r32,False,6,3.328969518,0.204821201,0.061526908,0.864336111,1.828046771,13077422,7.26E-08
s17,SequenceMemory_r07,False,3,3.87458838,-0.054813649,-0.014146961,0.343225367,1.934975275,8990783,1.99E-08
